ID	PG.ProteinDescriptions	PG.Qvalue	PCK1	PCK2	PCK3	PCK4	PCK5	PHC1	PHC2	PHC3	PHC4	PHC5	CK1	CK2	CK3	CK4	CK5	HC1	HC2	HC3	HC4	HC5
P63258	"Actin, cytoplasmic 2 OS=Bos taurus OX=9913"	0.002463118	3708.804199	5688.942871	1708.515869	1106.237671	2241.825928	3139.52417	5554.437988	2475.360352	4287.643066	6102.065918	3116.107178	1823.508911	2935.396484	1489.412842	1028.010742	3520.850586	3799.791016	4319.713379	5228.645996	5622.23291
A6QPP9	C-X-C motif chemokine OS=Bos taurus OX=9913	0.002463118	35309.00781	19667.11719	34531.52734	18698.75195	12224.6875	25917.70117	61287.94141	11700.85449	22752.00391	68292.07031	15437.70117	11527.05176	28367.91211	16927.97266	4285.59375	35847.20703	64314.96875	22508.44141	27344.30469	20144.14063
Q29437	"Primary amine oxidase, liver isozyme OS=Bos taurus OX=9913"	0.001220829	189601.5156	206792.4375	176647.7031	125925.5	165642.4375	321942.5	271416.0625	339119.0625	278163.5938	301321.2813	164409.1406	138750.875	120392.1953	157145.0313	178302.7031	274506.0313	205809.9375	315634	206789.2969	281707.4375
P00921	Carbonic anhydrase 2 OS=Bos taurus OX=9913	0.025973369	1	2794.720215	2555.321777	1	1855.787842	620.7733154	1216.796265	484.2518311	142.7688293	674.7428589	1388.820679	651.3605957	2847.151123	4598.841797	1.111689687	2145.09375	546.2688599	202.4120941	502.3410645	209.9607086
P80195	Glycosylation-dependent cell adhesion molecule 1 OS=Bos taurus OX=9913	0.002463118	2058.337891	2707.678955	4786.604004	1880.452637	2948.214844	550.0669556	4376.331543	1.192545652	9179.890625	2843.780762	6182.243652	7405.157715	6728.798828	18174.11328	8370.335938	19602.60547	30622.87109	14769.95703	13190.66992	18255.23828
P49907	Selenoprotein P OS=Bos taurus OX=9913	0.002463118	2571.674805	1661.269409	3132.370117	1238.20752	2426.732422	1818.824951	3248.591064	5347.96582	1838.479614	2991.19043	3064.014893	1464.787964	3657.003906	3087.469971	3737.701904	4967.135254	4379.970215	6431.64209	1921.529053	2526.406982
Q2KIG3	Carboxypeptidase B2 OS=Bos taurus OX=9913	0.000911638	8898.822266	9828.834961	8525.40918	9653.230469	10824.2041	12102.08594	16926.45898	17251.68164	15570.54102	16904.01563	13520.57031	9780.017578	12344.18359	10713.72363	20979.6543	10512.72461	11623.41016	16794.29492	17231.50977	23455.79297
F1MWD3	T-complex protein 1 subunit epsilon OS=Bos taurus OX=9913	0.011272975	9601.924805	8212.887695	7001.015137	7616.777832	13693.22461	17950.41016	8746.001953	24200.20313	10590.6875	17225.15234	25288.97266	9214.423828	14225.10156	17782.0625	12004.65723	11169.70117	18780.61914	19432.67578	19925.29297	10897.21875
A0A140T897	Serum albumin OS=Bos taurus OX=9913	0.000718599	21340144	15175557	17351574	14586066	16207845	23879852	18958968	23716596	19858512	21201100	22278790	14562544	14343348	15558521	19333728	21926168	21367314	25183056	21373668	18235090
4K3E_H	unnamed protein product	0.002463118	570438.8125	593775.5625	403574.9688	1663830.875	635964.9375	1345765.125	1448651.625	829169.8125	778748.625	1331924.625	1499648.25	1175854	857983.9375	1011481	893210	1158933.25	1530095.625	808139.8125	1497703.375	921286.3125
F1MCF8	Uncharacterized protein OS=Bos taurus OX=9913	0.00037962	348744.3438	484542.1875	301220.4375	675269.5	350802.6563	685934.5625	768286.3125	423915.5938	326479.75	657635.25	450290.6875	531061.9375	420927.0625	548679.875	455567.3125	664036.8125	839568.625	423125.5	704357.125	411502.6563
5ILT_H	unnamed protein product	0.002463118	892199.8125	979297.3125	1201546.75	1181141.375	1003725.813	1755354.5	2133571	791230.9375	2019509.75	1865555.25	1169443.25	1471589.625	1721972.625	1120657.125	922812.625	1432036	2529185.75	901307.75	3409735	1840867.25
D4QBB4	Globin A1 OS=Bos taurus OX=9913	0.002345849	549166.625	4632543	722642.375	332699.125	1608042.875	1333363.625	1024244.75	339659.7188	304886.25	456440	282995.875	1006231.813	1151737.75	552966.9375	545436.375	368455.5625	450967.5313	386754.9375	464218.5	721336.8125
754920A	albumin	0.002237012	5723733.5	3859307.25	4630209.5	6401130.5	6889308.5	11320300	8562274	11023945	7820378	10339429	8262631.5	7879516.5	6727847.5	7503876.5	9733344	9678310	9659597	11560872	9864151	8290241.5
A6QPQ2	Serpin A3-8 OS=Bos taurus OX=9913	0.001220829	57182.42969	53681.17578	103775.0938	110593.9219	39326.29297	160505.9063	130167.1797	70949.94531	306999.7813	128658.5547	68975.26563	101462.0938	143408.9063	133883.4063	137058	154676.4063	156619.5469	142823.9688	776973.4375	218589.4688
Q28107	Coagulation factor V OS=Bos taurus OX=9913	0.002463118	16455.80078	10300.80566	17715.33203	11418.17969	10279.06055	14510.07324	10807.66797	16437.57617	11668.88281	10388.25879	19835.29688	24860.73828	16775.54688	16553.10742	21147.62891	15134.85352	11510.625	24885.41211	30050.44922	24113.64063
I6XXP7	Insulin-like growth factor binding protein 3 OS=Bos taurus OX=9913	0.006523837	2027.036011	299.4069214	611.789978	2110.028564	1132.353516	1427.08606	1291.363037	1250.500977	1795.998291	2675.275146	1	1.370400786	164.6812286	1	169.2192993	1621.026611	484.4200745	1.746655464	617.145813	387.2228394
Q28163	Placental lactogen (Fragment) OS=Bos taurus OX=9913	0.008728492	1989.987427	695.1242065	1071.472168	3.723601103	838.0811768	583.9172974	634.008728	937.6838379	1601.516357	521.6903076	1.068864942	1.013943076	1	1.421093106	1	1	1	1.016674399	1	1.545404077
P00745	Vitamin K-dependent protein C (Fragment) OS=Bos taurus OX=9913	0.002463118	2472.98584	2745.406006	2394.012939	4615.576172	2526.109619	3079.92334	3802.543457	3947.522705	5003.89502	5593.046387	3621.416992	3345.820313	4953.287598	2320.887695	3883.330078	4511.5	3895.105225	4963.674805	6224.186035	6546.743652
Q03763	Desmoglein-1 OS=Bos taurus OX=9913	0.002463118	81138.82031	18545.60156	11764.78809	40905.50781	4331.763184	84365.90625	45929.24609	36122.52734	15832.88672	39116.61719	95041.4375	18544.71094	15705.41113	50075.98828	2623.718262	73313.50781	51927.66797	32555.0918	19891.82813	87147.51563
Q27967	Secreted phosphoprotein 24 OS=Bos taurus OX=9913	0.002463118	561.3900146	1.775418997	363.2272949	685.265564	284.6920471	4224.731445	917.3303223	1439.597656	737.6253662	395.5557556	1511.848389	199.8924255	561.571228	594.2833252	1313.810791	780.222168	1156.102783	1789.19104	735.0582275	525.7457886
AAA68994	"anti-respiratory syncytial virus Ig heavy chain V region, partial"	0.002463118	8584.333984	17739.43945	13351.1084	25155.69141	12970.88477	7629.256836	9255.000977	10428.42969	15340.3877	22000.96484	13152.98242	24572.10938	18474.91016	20832.49219	19544.15039	9550.738281	9387.576172	8772.631836	30120.47656	19918.37109
AAA68995	"anti-respiratory syncytial virus Ig lambda chain V region, partial"	0.003165886	3562.994873	8308.095703	4751.067383	14670.07617	7240.692383	19265.38477	10874.87012	8024.712402	6885.430176	17713.23633	4532.841309	12452.33594	8519.016602	9241.794922	13093.22559	14995.45898	11942.83789	5324.741211	8704.551758	13697.83594
AAA68997	"anti-idiotype Ig lambda chain V region, partial"	0.014276592	6098.08252	7308.417969	6815.155762	4132.174805	3435.808105	3182.860107	5407.044922	370.9425964	2104.701416	3150.399658	2623.367188	2930.581055	4647.283203	1	765.9277344	3655.202637	4437.410645	465.5721436	863.3805542	4961.388672
AAA68998	"anti-respiratory syncytial virus Ig lambda chain V region, partial"	0.002463118	6537.585449	16775.46094	8520.455078	25841.66406	19357.14258	38874.30469	43855.89844	19991.80469	27507.30273	20578.96094	11383.14453	24756.10938	22537.59375	31718.62891	18576.55664	71495.70313	56543.20703	22640.08398	31618.56641	22962.89844
AAA83132	"immunoglobulin lambda light chain variable region, partial"	0.002463118	123908.0234	82951.375	85056.69531	118476.7188	120353.0469	180416.5313	235710.9688	49980.15234	134824.8438	195880.6875	167140.3906	90848.07813	136235.0469	100827.2031	133789.8594	187601.5156	229221.8906	5692.800781	449519.8125	151376.4219
AAA83141	"immunoglobulin lambda light chain variable region, partial"	0.002463118	3495.739258	74217.75	9223.772461	174862.4531	25064.60742	118968.2578	52224.07031	219368.3594	110733.9063	60178.90625	7586.487305	126602.5469	5958.035156	38319.27734	25419.18555	125787.8281	44961.51563	87318.67188	174779.3906	60736.92969
AAA98648	"immunoglobulin heavy chain variable region, partial"	0.002463118	2.422288418	2961.772705	1405.398071	3488.946045	1555.266357	1809.475464	2038.360474	2030.628296	3877.745117	3631.241211	9649.097656	8775.378906	3010.11084	5890.659668	3252.195313	3313.068359	7471.822754	2893.103516	3610.722168	4180.118164
AAA98653	"immunoglobulin heavy chain variable region, partial"	0.002463118	20745.27539	15519.46777	30179.59961	28057.29102	20027.66406	29831.33984	24012.24219	13277.24512	16561.83594	25902.48828	18290.38867	23460.50781	25551.17578	27161.26953	13382.46875	21641.38867	41822.90625	17786.85938	44942.74219	18703.75586
AAA98661	"immunoglobulin heavy chain variable region, partial"	0.01163223	25386.875	10413.74805	24914.36328	24491.45703	25855.25391	51579.30078	97684.72656	52416.80469	19433.58398	35217.75781	35212.71875	40337.82813	16083.2666	21155.13477	15613.99121	59205.05859	29149.47656	28164.35547	28335.10938	37837.09766
AAB01180	"immunoglobulin heavy chain, partial"	0.008388683	974.6999512	961.8747559	1006.469788	603.2595215	2860.077637	909.77948	1.023841619	1.682358146	1	577.5567627	608.7324219	1.13857007	1.037351131	359.5829773	1	876.7860718	1.75549686	299.390564	232.0923157	2442.494873
AAB01181	"immunoglobulin heavy chain, partial"	0.002463118	5360.648926	22649.17188	73650.17969	70560.71094	14961.78418	16487.18359	6321.954102	11546.32813	12702.92773	35664.15625	5775.415039	17360.08008	117395.0547	43548.17969	17708.63672	13224.9248	7765.390625	7569.515137	18584.21875	21660.29492
AAB01186	"immunoglobulin heavy chain, partial"	0.008232462	1842.843994	1928.472656	1580.576538	4310.001953	4726.358398	6587.194824	5115.720703	2493.677002	5584.823242	3459.310303	5760.994629	6917.95459	2965.513672	6439.422852	3312.369141	5840.371582	5187.948242	1	20559.10938	2970.331787
AAB03275	"IgM, partial;immunoglobulin heavy chain variable region, partial"	0.002502775	59808.16406	88483.8125	65417.85547	146784.2656	37973.39063	83813.40625	110443.5391	46604.63672	66106.92188	165759.9063	85174.5	107117.7578	100991.8594	116724.0859	52028.03906	80438.01563	113172.6094	39155.32031	94893.28906	169046.1563
AAB09544	"IgM heavy chain constant region, secretory form, partial;IgM heavy chain constant region, membrane form, partial"	0.002463118	1839.192505	1586.260132	1	1	1425.237427	10963.28613	5074.789551	12687.61719	3390.626953	6556.672852	2327.934326	1973.821167	537.5568237	1	2457.098633	9898.123047	3805.706543	5591.42041	2371.931152	4283.435547
A0A140T843	Beta-2-glycoprotein 1 OS=Bos taurus OX=9913	0.002155017	288586.375	203466.9219	153509.2188	217672.4375	231340.125	279256.4375	282660.5	320402.0938	219215.6875	395815.7188	290472.3438	148307.9375	237549.7344	207203.0469	225979.3906	302955	285913.7813	228437.0313	270337.2188	182953.375
P35541	Serum amyloid A protein OS=Bos taurus OX=9913	0.002463118	3028.525879	6399.202148	80849.70313	46463.64063	20564.18359	43791.19922	19015.20508	35407.39453	5065.79834	1255.118042	2423.438477	57868.90234	10097.02051	8242.700195	9787.901367	1801.115845	2871.304932	12086.88086	56090.36719	30009.49805
AAB37380	"IgG2a heavy chain constant region, partial"	0.00083326	45646256	11985959	13286968	51759400	728054.8125	141349.6719	81231.08594	27086.94727	12413361	36569160	50207500	16527163	14969429	47157292	788622.5	353080.75	52492.81641	31697.03906	20716170	29728422
AAB37381	"IgG1 heavy chain constant region, partial"	0.002463118	677954.875	135991.5156	115052.3047	2301933.5	112507	159574.4375	135881.0781	196085.2188	108070.1172	1368376.875	1861217.25	284400.5313	244445.625	1616570.5	55435.57031	162755.8594	134659.75	155490.4063	383861.5625	1141057
AAB66565	"immunoglobulin light chain variable region, partial"	0.003186671	66964.77344	81751.07813	45852.60938	68393.53125	50559.85938	79669.40625	83092.4375	80442.09375	49328.72266	179803.875	56137.89844	104866.0938	67557.0625	66487.90625	112382.3281	69028.73438	93839.17188	66788.17188	83758.4375	64393.78125
AAB66571	"immunoglobulin light chain variable region, partial"	0.002463118	32214.75977	3205.196777	23866.34375	26102.09961	10813.04297	7083.124023	36858.26953	3702.869385	11334.68164	24033.04297	28797.38477	3249.140869	33273.57813	27363.78906	12607.38281	8347.532227	39535.44141	5582.23584	18514.17188	16738.8418
AAB66573	"immunoglobulin light chain variable region, partial"	0.00083326	8772.527344	30393.46289	10805.29492	18172.6875	18023.07031	34266.41016	36410.21094	12717.46777	13143.25684	20832.36914	13316.7627	28792.88672	15800.93359	16041.66895	23448.31445	18569.19727	38486.87891	9923.296875	60279.85156	16881.86914
G5E6L7	Uncharacterized protein OS=Bos taurus OX=9913	0.052182116	1	1437.636353	1	5366.407227	895.9401245	966.440979	3242.559326	1024.956787	1192.091675	5403.796875	1	972.382019	937.4404297	4311.866211	2161.912354	2715.575928	3415.12793	745.4399414	2626.201904	4132.243164
AAB66578	"immunoglobulin light chain variable region, partial;immunoglobulin light chain, partial"	0.001220829	4674157	5006611.5	2973539.25	7012573.5	4084388.75	6542767.5	7527054.5	5360189.5	3718210.25	8499352	5186232.5	6299294.5	4495687	5757372.5	5163251.5	6180273	7622690	4844076	7486955.5	5611836.5
AAB68829	"immunoglobulin variable region, partial"	0.002512432	21092.36133	4535.563965	31899.47656	9767.071289	6305.494629	21853.375	13186.53613	7277.185059	11422.29492	11693.84961	24119.61719	19629.00977	4838.0625	3601.422363	6394.943359	45701.97656	10212.35645	4158.983887	18446.57031	8739.775391
AAB68830	"immunoglobulin variable region, partial"	8.77E-05	14056.94434	37016.125	26606.58984	48229.80078	65529.17578	79966.375	57292.28125	43000.79297	42498.62109	85320.60938	28761.94141	56611.64844	27608.13477	43328.38281	11711.09473	75263.8125	63556.79688	34874.30859	69641.57813	59582.85547
AAB81516	"immunoglobulin light chain variable region, partial"	0.002463118	83435.36719	66713.90625	70123.08594	74343.42188	63771.41797	69383.96875	125943.4531	50260.04688	67595.39063	154397.5625	111640.2969	93092.23438	159334	73936.71875	60419.18359	85050.52344	44887.23047	44181.26563	108957.1328	146158.2656
G5E5U8	Uncharacterized protein OS=Bos taurus OX=9913	0.002463118	417741.4688	682294.6875	519522.25	1640009.375	558304.5	1236670	1110124.375	866180.1875	970073.875	2198802.25	626563.0625	990132.5625	817771	1455449	660006	1337903.375	1131288.875	762977.5	157545.4219	1987744.125
AAC18412	"immunoglobulin heavy chain variable region, partial"	0.005856558	7645.885742	13317.03125	2982.150635	5675.382813	3601.716064	1	59533.66797	11458.04883	8526.52832	6161.973633	17164.35156	25358.16406	9832.077148	3911.620117	3739.750244	1496.662231	70005.60156	8129.26709	10203.89551	6512.343262
AAC18413	"immunoglobulin heavy chain variable region, partial"	0.030654673	3386.647949	4845.248535	1308.602417	9832.626953	1584.488403	2118.234375	2852.171387	1401.651978	1151.758179	921.9968262	3468.415039	6108.57959	4240.759277	16770.26758	1282.23645	2400.754883	2398.893311	1358.104492	3570.268311	821.8014526
AAC48517	"immunoglobulin heavy chain variable region, partial"	0.000367423	23149.50781	18191.24219	10086.64551	36491.09766	12262.06641	16759.85547	11311.54395	6624.007324	11738.63379	39608.35156	26465.60352	23447.02344	13448.60156	23442.11719	12142.62988	16565.23828	7918.720703	3704.341553	20983.91602	26167.33203
AAC48520	"immunoglobulin heavy chain variable region, partial"	0.006029446	8124.401367	2489.470459	6407.977539	4098.365723	697.7388916	713.0032959	2622.086914	1877.085938	1470.283081	3043.733643	5636.266113	5337.344727	12840.75977	6050.14209	2212.523926	1323.842285	5430.339844	441.559082	8408.445313	1731.532715
AAC48549	"immunoglobulin lambda light chain variable region, partial"	0.000982318	148221.0938	276790.6875	703395.375	282705.6563	678771.5625	250463.9844	295983.625	132422.7344	139866.2188	1498526.875	185554.9063	837957.375	245009.0938	881236.6875	198697	143927.4375	1301493.875	80137.45313	239276.0313	408489.3125
AAC48550	"immunoglobulin lambda light chain variable region, partial;immunoglobulin lambda light chain variable region, partial"	0.002463118	79602.46875	132574.2656	67880.99219	115985.9297	87973.15625	75383.96094	86135.28125	118052.9688	55564.82422	104924.7266	82825.73438	63303.13281	55382.51563	60289.42578	139142.7656	100198.1719	134010.6406	78441	80995.85938	40707.8125
AAC48552	"immunoglobulin lambda light chain variable region, partial"	0.005856401	21868.79102	31290.28906	32529.18945	23360.94922	10851.66797	13128.81836	25490.7793	7882.202637	42444.41406	30635.22656	31151.45508	28263.92383	11240.29395	18721.7832	9435.112305	45126.77734	63854.16797	45780.55859	59958.07813	25132.59375
AAC48553	"immunoglobulin lambda light chain variable region, partial"	0.002463118	4820.165039	7929.909668	8255.824219	18860.53516	11724.58301	11886.43555	13462.47168	9604.999023	7390.711914	11490.48242	8666.172852	9086.855469	11038.57617	15521.86133	12791.11133	21905.50586	16188.42871	10095.86523	13098.71191	8105.553223
AAC48554	"immunoglobulin lambda light chain variable region, partial"	0.002463118	90620.5625	112757.5156	71786.54688	135894.5	77170.61719	177167.5313	133943.0938	118227.3281	54742.53125	154048.0625	72946.79688	63496.8125	42660.75	91807.90625	115876.2188	105974.4375	134111.3906	62435.98828	197389.125	108681.4609
AAC48556	"immunoglobulin lambda light chain variable region, partial"	0.001540272	79517.35156	49671.86719	33964.89453	58672.45313	40179.26953	57168.63672	65674.91406	31607.9707	27406.32031	59701.70703	62627.17188	39658.93359	46957.73438	58315.80859	51196.46094	65528.34375	84808.57813	17218.18945	36958.14063	30237.85547
AAC48559	"immunoglobulin lambda light chain variable region, partial"	0.002463118	96152.77344	107618.3438	35310.26172	97149.98438	63121.26172	114071.7578	66396.55469	101248.7109	30297.09766	142949.1563	105355.2813	71343.20313	41801.6875	59518.70703	87092.74219	69477.89063	97207.40625	57711.71484	41078.66016	50644.36328
AAC48761	"IgG3 heavy chain constant region, partial"	0.002463118	97064.23438	135541.1563	124680.2813	307588.1875	135357.9375	289861.125	263877.1875	249308.5156	140699.0781	273752.4063	177717.625	186565.1719	302309.0938	227477.8438	128609.9453	250795.7188	251316.625	356198.0313	201873.7031	208215.8125
AAC48762	"IgG3 heavy chain constant region, partial"	0.00083326	10070191	3048280.75	3138405.5	4103278.75	2545403.25	4766680.5	3524616.5	2463800.25	3516475.5	1093136.625	9610271	2878233.5	3915949	3007870.5	2307583.5	4530060.5	4677484	3251517.25	5971413	968873.75
AAC71037	"immunoglobulin heavy chain variable region, partial"	0.021513089	1	1	1422.744507	2536.9646	848.7001343	7085.899902	4016.247559	1316.149536	4088.863281	1567.795898	503.9549866	1	3258.789795	1785.898071	1	3302.721191	1435.726318	1	6024.855957	6410.641113
O97941	Complement component 3 (Fragment) OS=Bos taurus OX=9913	0.002463118	3736.333008	2356.168457	3717.396973	5000.692383	4099.327637	6148.594238	4277.469727	8668.448242	7562.318848	8124.04834	1649.594238	7102.77002	4880.04541	3707.304443	3118.554443	4111.101563	3650.640381	5622.70752	6229.81543	5339.712891
G3N2Z4	Uncharacterized protein OS=Bos taurus OX=9913	0.002463118	72683.63281	71177.28125	74176.57813	367321.7188	120164.7578	283896.625	314957.5313	197238.2031	99065.95313	166376.625	90782.60938	100283.2891	94751.45313	275227.4375	140704.5469	249786	368623.125	210287.7031	157358.0469	149213.8125
Q9XSC6	Creatine kinase M-type OS=Bos taurus OX=9913	0.002463118	928596.8125	1297499.75	636978.75	1587901.375	395283.8125	2890766	1132922.5	1414068	572690.4375	1505414.5	695216.25	968008.125	1059998.75	1438608.875	2625188.75	2786120.25	2919412.75	2406733.25	4203984.5	4461065
Q9N128	Peroxisome proliferator activated receptor beta (Fragment) OS=Bos taurus OX=9913	0.002463118	56782.17969	51722.92578	61944.70703	39081.72656	44392.78125	71681.05469	60997.83203	75693.39844	67811.21875	65923.22656	77389.90625	53803.80859	61597.01172	51325.87109	50067.24609	80121.14063	64227.58203	93311.69531	61503.21094	49511.76953
Q3T085	OGN protein OS=Bos taurus OX=9913	0.002760477	1564.994019	1366.408447	2944.351318	945.4344482	683.4203491	928.4075928	2345.293945	2409.790283	1169.080444	2104.847168	1	533.5209351	2036.536377	1	720.7573242	1	1.192595363	1771.291504	1014.908997	946.414856
Q9TT36	Thyroxine-binding globulin OS=Bos taurus OX=9913	0.002463118	9947.050781	8383.677734	9669.636719	13032.02832	7836.97168	14636.30762	14721.91699	16168.58594	14562.4082	13099.56055	13099.71582	9345.601563	10936.49512	12472.66992	6314.879883	16964.06641	11626.9043	11969.88672	12483.26367	8283.023438
Q3MHW2	F10 protein (Fragment) OS=Bos taurus OX=9913	0.001270967	13497.79688	13375.62109	73671.42188	330472.2188	13800.1543	19071.06445	22592.11914	26426.19336	19064.30859	30791.95117	17450.73242	7320.316895	18253.87891	35589.90625	20189.22852	18389.52148	261162.5156	33841.83984	18728.10938	21816.95313
P68103	Elongation factor 1-alpha 1 OS=Bos taurus OX=9913	0.030887181	10530.87695	7891.818848	9071.297852	10520.54395	11059.36035	12555.84277	606.1165771	1315.723511	7395.505859	23251.31055	904.0288696	5177.708984	2560.234375	7767.112305	6795.95459	11631.09082	11995.28613	750.1790771	10258.86719	9033.616211
Q32L58	C-C motif chemokine OS=Bos taurus OX=9913	0.005106342	2217.591553	1884.02417	1	1	349.7020874	1	3396.384033	3817.950195	1735.226074	1423.617554	1.002476454	1587.258057	1560.291138	1227.99231	1643.984009	3352.582031	2662.088867	5145.531738	1521.484741	2633.531982
F1MB90	Uncharacterized protein OS=Bos taurus OX=9913	0.004328636	12728.44727	7811.041504	8974.87793	1	24360.83203	19303.84961	13850.40918	20629.29883	13421.94727	11494.94434	14156.76367	8632.06543	426.8358459	6952.216309	15597.44629	14828.19434	9657.00293	12061.66895	3702.423828	7745.213867
Q08DK9	PWWP domain-containing DNA repair factor 3A OS=Bos taurus OX=9913	0.002463118	246372.0625	183701.4844	214504.1719	173436.3281	218787.6094	270220.0313	300818.125	362401.5625	279927.4063	290237.5313	335552.1563	166002.9063	243319.1875	233073.8281	177001.1563	299603.0625	287756.5313	368534.0625	269367	243828.4063
Q1RMN8	"Immunoglobulin light chain, lambda gene cluster OS=Bos taurus OX=9913"	0.000107262	114955.3828	82693.24219	126370.9609	143355.5625	36177	421618.0313	606940.625	440299.75	273913.8125	623370.125	45669.30859	235412.4219	190523	160420.875	74062.14063	544523.75	553640.875	38132.35156	596177.3125	83892.04688
Q1RMH5	C1QC protein (Fragment) OS=Bos taurus OX=9913	0.002463118	8408.03125	4634.392578	7602.586426	4812.966309	11455.82422	10738.74805	5223.28418	11328.98535	7750.636719	11019.33887	5957.840332	8593.598633	7354.648438	2883.206299	9398.058594	4211.594238	6440.308594	7544.136719	11409.45117	5946.346191
Q17QF4	"5'-nucleotidase, cytosolic III-like OS=Bos taurus OX=9913"	0.002463118	16838.67578	263.2306519	3357.190918	14057.36035	844.8328247	2342.616943	9058.870117	5051.253906	7841.454102	8269.884766	8313.289063	2872.367432	2753.548584	14262.17578	7775.652344	84245.71875	4595.501465	167726.6406	10218.91406	15453.79102
Q05B55	IGK protein OS=Bos taurus OX=9913	0.001711037	424559.0938	605343.625	370832.0625	823667.625	417472.6563	909818.5	817551.5625	672157.75	622014.9375	1349628.75	769634.0625	767207.25	658388.375	628210.125	606341.25	784533.5625	941198.625	671508.8125	722035.625	721058.4375
F1MLW2	BPI fold-containing family B member 1 OS=Bos taurus OX=9913	0.037174945	1093.904053	1	1796.436523	2542.898926	1567.487305	1279.397461	2148.267578	2414.121094	1382.4823	3360.974121	1295.748901	1887.287109	1580.069824	1	2830.008057	1358.020752	1	1777.581299	1494.901978	1337.598999
F1N7V1	TBC1 domain family member 32 OS=Bos taurus OX=9913	0.002463118	1341.622192	7592.089844	3295.590332	1775.938843	3250.810059	1655.666748	5352.637207	2539.393799	3124.836182	2461.881836	1160.306885	4963.478516	3852.043457	2187.319092	1500.270874	3958.51123	4724.090332	2241.69043	15666.52637	1988.152588
A5D7M6	KRT5 protein OS=Bos taurus OX=9913	0.002463118	2.007358074	4916.739258	6658.098145	541.8562622	298.5480042	6950.966309	1.193342805	1450.190796	3389.016846	6041.546875	1	1	1.091444612	1	1	4405.488281	3426.7146	19257.08594	786.7421265	1
A5PK49	IGL@ protein OS=Bos taurus OX=9913	0.087716328	2.101391077	1390.587402	284.629425	1	201.4178314	1281.665649	1415.562622	1873.756104	444.0544739	760.6304932	290.056488	1099.659912	423.7884216	1058.804199	1	1234.413086	3324.772217	1	1062.583984	966.6914673
